File Name,Datetime,Exp Time,Filter,JD,BJD_TDB,EXPFLAG,SAA,Time,Orbit,DX,DY,ScanDirection
id4301oyq_ima.fits,2016-05-04 05:38:49,112.00799599999999,G141,2457512.73530053,2457512.733041718,INDETERMINATE,13020,76.00003033876419,0.0,-0.0,-0.0,0
id4301ozq_ima.fits,2016-05-04 05:41:20,112.00799599999999,G141,2457512.73704831,2457512.7347896444,INDETERMINATE,13171,227.0082235336304,0.0,-0.0105,0.076,1
id4301p0q_ima.fits,2016-05-04 05:43:51,112.00799599999999,G141,2457512.73879608,2457512.7365375604,INDETERMINATE,13322,378.01553159952164,0.0,-0.0185,-0.0245,0
id4301p1q_ima.fits,2016-05-04 05:46:22,112.00799599999999,G141,2457512.74054386,2457512.738285486,INDETERMINATE,13473,529.0237247943878,0.0,-0.028,0.0555,1
id4301p2q_ima.fits,2016-05-04 05:48:53,112.00799599999999,G141,2457512.74229127,2457512.7400330426,INDETERMINATE,13624,679.9999326467514,0.0,-0.027,-0.037,0
id4301p3q_ima.fits,2016-05-04 05:51:24,112.00799599999999,G141,2457512.74403905,2457512.741780969,INDETERMINATE,13775,831.0081258416176,0.0,-0.0345,0.043,1
id4301p4q_ima.fits,2016-05-04 05:53:55,112.00799599999999,G141,2457512.74578682,2457512.743528885,INDETERMINATE,13926,982.0154741406441,0.0,-0.048,-0.05,0
id4301p5q_ima.fits,2016-05-04 05:56:26,112.00799599999999,G141,2457512.7475346,2457512.74527681,INDETERMINATE,14077,1133.0236673355105,0.0,-0.0395,0.0395,1
id4301p7q_ima.fits,2016-05-04 05:58:57,112.00799599999999,G141,2457512.74928201,2457512.747024366,INDETERMINATE,14228,1283.9998751878736,0.0,-0.045,-0.055,0
id4301p8q_ima.fits,2016-05-04 06:01:28,112.00799599999999,G141,2457512.75102979,2457512.7487722933,INDETERMINATE,14379,1435.0080683827402,0.0,-0.0445,0.037,1
id4301paq_ima.fits,2016-05-04 06:03:59,112.00799599999999,G141,2457512.75277756,2457512.750520209,INDETERMINATE,14530,1586.0154166817663,0.0,-0.0505,-0.0545,0
id4301pbq_ima.fits,2016-05-04 06:06:30,112.00799599999999,G141,2457512.75452534,2457512.752268135,INDETERMINATE,14681,1737.0236098766327,0.0,-0.056,0.035,1
id4301pcq_ima.fits,2016-05-04 06:09:01,112.00799599999999,G141,2457512.75627275,2457512.75401569,INDETERMINATE,14832,1887.9998177289965,0.0,-0.0485,-0.0505,0
id4301pdq_ima.fits,2016-05-04 06:11:32,112.00799599999999,G141,2457512.75802053,2457512.755763617,INDETERMINATE,14983,2039.0080109238627,0.0,-0.0705,0.046,1
id4301peq_ima.fits,2016-05-04 06:14:03,112.00799599999999,G141,2457512.75976831,2457512.7575115426,INDETERMINATE,15134,2190.0162041187286,0.0,-0.0545,-0.0475,0
id4301pfq_ima.fits,2016-05-04 06:16:34,112.00799599999999,G141,2457512.76151608,2457512.7592594586,INDETERMINATE,15285,2341.02351218462,0.0,-0.0495,0.042,1
id4301pgq_ima.fits,2016-05-04 06:19:05,112.00799599999999,G141,2457512.76326349,2457512.7610070147,INDETERMINATE,15436,2491.999760270119,0.0,-0.056,-0.0295,0
id4301piq_ima.fits,2016-05-04 06:21:36,112.00799599999999,G141,2457512.76501127,2457512.762754941,INDETERMINATE,15587,2643.007953464985,0.0,-0.06,0.058,1
id4301pjq_ima.fits,2016-05-04 07:11:06,112.00799599999999,G141,2457512.79938645,2457512.797132988,INDETERMINATE,18557,5613.023507595062,1.0,-0.0345,0.011,0
id4301pkq_ima.fits,2016-05-04 07:13:37,112.00799599999999,G141,2457512.80113386,2457512.798880544,INDETERMINATE,18708,5763.999715447426,1.0,-0.031,0.094,1
id4301plq_ima.fits,2016-05-04 07:16:08,112.00799599999999,G141,2457512.80288164,2457512.800628469,INDETERMINATE,18859,5915.007908642293,1.0,-0.047,-0.015,0
id4301pmq_ima.fits,2016-05-04 07:18:39,112.00799599999999,G141,2457512.80462942,2457512.802376395,INDETERMINATE,19010,6066.016101837158,1.0,-0.0525,0.076,1
id4301pnq_ima.fits,2016-05-04 07:21:10,112.00799599999999,G141,2457512.80637719,2457512.80412431,INDETERMINATE,19161,6217.023450136186,1.0,-0.0545,-0.0265,0
id4301poq_ima.fits,2016-05-04 07:23:41,112.00799599999999,G141,2457512.8081246004,2457512.8058718657,INDETERMINATE,19312,6367.999657988548,1.0,-0.0615,0.0555,1
id4301ppq_ima.fits,2016-05-04 07:26:12,112.00799599999999,G141,2457512.80987238,2457512.807619792,INDETERMINATE,19463,6519.007851183415,1.0,-0.064,-0.039,0
